request_id,request_mode,priority,is_mandatory,fulfillment_status,scheduled_entry_count,scheduled_sensor_types,feasible_opportunity_count,feasible_sar_count,feasible_optical_count,reason_codes
REQ-STRESS-SAR-T01-A,SINGLE,10,True,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T01-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T01-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T02-A,SINGLE,10,True,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T02-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T02-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T03-A,SINGLE,10,True,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T03-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T03-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T04-A,SINGLE,10,True,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T04-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T04-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T05-A,SINGLE,10,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T05-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T05-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T06-A,SINGLE,10,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-T06-B,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-T06-C,SINGLE,9,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T01-A,SINGLE,10,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-T01-B,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T01-C,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T02-A,SINGLE,10,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-T02-B,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T02-C,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T03-A,SINGLE,10,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-T03-B,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T03-C,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T04-A,SINGLE,10,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-T04-B,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T04-C,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T05-A,SINGLE,10,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-T05-B,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T05-C,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T06-A,SINGLE,10,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-T06-B,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-EO-T06-C,SINGLE,9,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-SAR-001,SINGLE,8,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-002,SINGLE,7,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-003,SINGLE,6,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-004,SINGLE,5,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-005,SINGLE,4,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-006,SINGLE,3,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|MEMORY_LIMIT
REQ-STRESS-SAR-007,SINGLE,8,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-008,SINGLE,7,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-009,SINGLE,6,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-010,SINGLE,5,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-011,SINGLE,4,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-012,SINGLE,3,False,UNASSIGNED,0,,10,10,0,ACQUISITION_LIMIT|MEMORY_LIMIT
REQ-STRESS-SAR-013,SINGLE,8,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-SAR-014,SINGLE,7,False,FULLY_SATISFIED,1,SAR,10,10,0,
REQ-STRESS-EO-001,SINGLE,8,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-002,SINGLE,7,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-003,SINGLE,6,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-004,SINGLE,5,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|MEMORY_LIMIT
REQ-STRESS-EO-005,SINGLE,4,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|MEMORY_LIMIT
REQ-STRESS-EO-006,SINGLE,3,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|MEMORY_LIMIT
REQ-STRESS-EO-007,SINGLE,8,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-008,SINGLE,7,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-009,SINGLE,6,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-010,SINGLE,5,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-011,SINGLE,4,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-012,SINGLE,3,False,UNASSIGNED,0,,10,0,10,ACQUISITION_LIMIT|MEMORY_LIMIT
REQ-STRESS-EO-013,SINGLE,8,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-EO-014,SINGLE,7,False,FULLY_SATISFIED,1,OPTICAL,10,0,10,
REQ-STRESS-DOPT-001,DUAL_OPTIONAL,7,False,FULLY_SATISFIED,2,OPTICAL|SAR,10,5,5,
REQ-STRESS-DOPT-002,DUAL_OPTIONAL,6,False,FULLY_SATISFIED,2,OPTICAL|SAR,10,5,5,
REQ-STRESS-DOPT-003,DUAL_OPTIONAL,5,False,FULLY_SATISFIED,1,SAR,10,5,5,
REQ-STRESS-DOPT-004,DUAL_OPTIONAL,4,False,FULLY_SATISFIED,1,SAR,10,5,5,
REQ-STRESS-DOPT-005,DUAL_OPTIONAL,7,False,FULLY_SATISFIED,2,OPTICAL|SAR,10,5,5,
REQ-STRESS-DOPT-006,DUAL_OPTIONAL,6,False,FULLY_SATISFIED,2,OPTICAL|SAR,10,5,5,
REQ-STRESS-DOPT-007,DUAL_OPTIONAL,5,False,FULLY_SATISFIED,1,SAR,10,5,5,
REQ-STRESS-DOPT-008,DUAL_OPTIONAL,4,False,FULLY_SATISFIED,1,SAR,10,5,5,
REQ-STRESS-DREQ-001,DUAL_REQUIRED,6,False,FULLY_SATISFIED,2,OPTICAL|SAR,10,5,5,
REQ-STRESS-DREQ-002,DUAL_REQUIRED,5,False,FULLY_SATISFIED,2,OPTICAL|SAR,10,5,5,
REQ-STRESS-DREQ-003,DUAL_REQUIRED,4,False,UNASSIGNED,0,,10,5,5,ACQUISITION_LIMIT|MEMORY_LIMIT
REQ-STRESS-DREQ-004,DUAL_REQUIRED,3,False,UNASSIGNED,0,,10,5,5,ACQUISITION_LIMIT|MEMORY_LIMIT
REQ-STRESS-DREQ-005,DUAL_REQUIRED,6,False,FULLY_SATISFIED,2,OPTICAL|SAR,10,5,5,
REQ-STRESS-DREQ-006,DUAL_REQUIRED,5,False,FULLY_SATISFIED,2,OPTICAL|SAR,10,5,5,
REQ-STRESS-DREQ-007,DUAL_REQUIRED,4,False,UNASSIGNED,0,,10,5,5,ACQUISITION_LIMIT|MEMORY_LIMIT|TRANSITION_CONFLICT
REQ-STRESS-DREQ-008,DUAL_REQUIRED,3,False,UNASSIGNED,0,,10,5,5,ACQUISITION_LIMIT|MEMORY_LIMIT
